timestamp,task1_state,task2_state,task3_state,task9_state,debug_value
2025-03-20 00:00:00.000040,TaskState.Suspended,TaskState.Ready,TaskState.Ready,TaskState.Ready,0.00
2025-03-20 00:00:00.000100,TaskState.Suspended,TaskState.Ready,TaskState.Ready,TaskState.Ready,0.00
2025-03-20 00:00:00.000120,TaskState.Suspended,TaskState.Running,TaskState.Ready,TaskState.Ready,0.00
2025-03-20 00:00:00.000190,TaskState.Suspended,TaskState.Running,TaskState.Ready,TaskState.Ready,0.00
2025-03-20 00:00:00.000380,TaskState.Suspended,TaskState.Blocked,TaskState.Running,TaskState.Ready,0.00
2025-03-20 00:00:00.000480,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,0.00
2025-03-20 00:00:00.006140,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,0.00
2025-03-20 00:00:00.006270,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,0.26
2025-03-20 00:00:00.008670,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,0.26
2025-03-20 00:00:00.008800,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,0.51
2025-03-20 00:00:00.010030,TaskState.Suspended,TaskState.Running,TaskState.Blocked,TaskState.Ready,0.51
2025-03-20 00:00:00.010130,TaskState.Running,TaskState.Ready,TaskState.Blocked,TaskState.Ready,0.51
2025-03-20 00:00:00.010280,TaskState.Suspended,TaskState.Running,TaskState.Blocked,TaskState.Ready,0.77
2025-03-20 00:00:00.010520,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,0.77
2025-03-20 00:00:00.020030,TaskState.Suspended,TaskState.Running,TaskState.Blocked,TaskState.Ready,0.77
2025-03-20 00:00:00.020260,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,0.77
2025-03-20 00:00:00.020910,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,0.77
2025-03-20 00:00:00.021060,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,0.51
2025-03-20 00:00:00.022390,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,0.51
2025-03-20 00:00:00.022530,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,0.26
2025-03-20 00:00:00.024360,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,0.26
2025-03-20 00:00:00.024500,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,0.00
2025-03-20 00:00:00.027280,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,0.00
